,fname,ACC,MDR,FAR,MAE,RMSE
757,2224.wav,0.9512194991111755,0.04878048598766327,0.04878048598766327,1.7106239795684814,2.10493803024292
758,4.wav,0.8333333134651184,0.1666666716337204,0.0,2.7883856296539307,3.4227294921875
759,153.wav,1.0,0.0,0.0,1.144120454788208,1.4661586284637451
760,1256.wav,1.0,0.0,0.0,1.7599173784255981,2.205933094024658
761,1024.wav,0.9090909361839294,0.09090909361839294,0.0,1.3906033039093018,1.8107991218566895
762,3594.wav,0.9473684430122375,0.05263157933950424,0.0,1.6838908195495605,2.344766139984131
763,2537.wav,0.44186046719551086,0.5581395626068115,0.0,1.493617296218872,2.7149550914764404
764,416.wav,0.9545454382896423,0.04545454680919647,0.0,1.2598129510879517,1.4601480960845947
765,2518.wav,1.0,0.0,0.0,0.7027069926261902,0.9685953259468079
766,3476.wav,0.949999988079071,0.05000000074505806,0.0,2.181041717529297,2.892364740371704
767,3495.wav,0.8333333134651184,0.1666666716337204,0.095238097012043,3.2408595085144043,4.117220878601074
768,1073.wav,0.8636363744735718,0.13636364042758942,0.0,3.1919760704040527,3.6425766944885254
769,7.wav,0.9047619104385376,0.095238097012043,0.0,3.0132718086242676,3.6015231609344482
770,3061.wav,0.8636363744735718,0.13636364042758942,0.09090909361839294,3.702043056488037,4.5599236488342285
771,2653.wav,0.9545454382896423,0.04545454680919647,0.0,0.41869136691093445,0.6601835489273071
772,3753.wav,0.9375,0.0625,0.0,2.493515968322754,3.1996936798095703
773,1841.wav,0.875,0.125,0.0,1.936362862586975,2.427619457244873
774,1561.wav,0.6052631735801697,0.3947368562221527,0.1315789520740509,3.594172477722168,4.748057842254639
775,934.wav,0.9375,0.0625,0.0,1.8436474800109863,2.057903528213501
776,74.wav,0.8444444537162781,0.15555556118488312,0.1111111119389534,3.479475498199463,4.666806697845459
777,423.wav,1.0,0.0,0.0,0.7002071142196655,0.8656818270683289
778,3966.wav,0.9473684430122375,0.05263157933950424,0.0,1.6110917329788208,2.0895767211914062
779,2760.wav,1.0,0.0,0.0,1.0391231775283813,1.3533744812011719
780,1749.wav,0.949999988079071,0.05000000074505806,0.0,1.1399238109588623,1.4283649921417236
781,373.wav,0.9523809552192688,0.0476190485060215,0.02380952425301075,1.75816011428833,2.2063021659851074
782,1631.wav,0.8500000238418579,0.15000000596046448,0.05000000074505806,2.3565328121185303,2.955226421356201
783,3251.wav,0.9523809552192688,0.0476190485060215,0.0,0.5423500537872314,0.7887657284736633
784,647.wav,0.8461538553237915,0.1538461595773697,0.05128205195069313,3.5130703449249268,4.375786304473877
785,962.wav,0.9545454382896423,0.04545454680919647,0.0,1.42674720287323,2.176654100418091
786,2977.wav,0.9473684430122375,0.05263157933950424,0.0,1.5758978128433228,1.7649133205413818
